,bottom_up_twh,bottom_up_twh,bottom_up_twh,bottom_up_twh,reference_twh,reference_twh,reference_twh,reference_twh
,<100C,100-400C,400-1000C,>1000C,<100C,100-400C,400-1000C,>1000C
AT,1.282,4.784,8.371,3.079,5.163,13.027,2.0,8.602
BE,3.267,4.38,20.181,4.367,4.096,20.837,5.018,9.726
BG,1.417,2.577,2.786,1.629,0.791,2.919,0.696,2.847
CY,0.0,0.034,0.203,0.102,0.025,0.127,0.114,0.718
CZ,1.661,3.308,6.288,1.64,2.849,7.636,2.021,8.377
DE,12.562,24.112,67.221,21.371,14.975,82.554,19.154,59.473
DK,1.189,1.137,0.68,0.268,0.956,2.425,0.285,2.769
EE,0.016,0.24,0.016,0.018,0.279,0.329,0.026,0.067
EL,0.922,1.181,2.658,1.692,0.421,2.347,1.388,3.285
ES,5.731,11.296,21.463,8.638,8.293,25.761,7.27,23.194
FI,0.963,16.947,4.464,1.613,22.698,18.459,1.21,3.422
FR,10.01,14.699,29.851,8.693,9.402,37.533,6.769,23.609
HR,0.333,0.515,1.007,0.476,0.276,1.25,0.281,1.642
HU,1.267,1.467,6.405,0.973,1.055,6.185,1.1,2.795
IE,1.023,3.707,2.229,0.677,0.532,2.624,0.788,3.215
IT,8.514,10.855,17.972,12.262,7.734,39.807,9.106,29.555
LT,0.4,0.397,0.863,0.41,0.331,2.096,0.379,0.671
LU,0.007,0.181,0.226,0.793,0.032,0.155,0.701,0.729
LV,0.02,0.045,0.175,0.087,0.077,0.342,0.058,0.826
MT,0.0,0.0,0.0,0.0,0.004,0.02,0.0,0.0
NL,4.282,4.795,34.81,5.649,4.703,41.224,7.545,6.11
PL,4.795,9.866,12.531,6.116,5.511,20.468,5.49,17.898
PT,1.599,6.295,5.173,1.819,5.812,6.214,1.459,4.009
RO,1.407,2.677,4.103,2.908,1.095,6.299,3.126,7.639
SE,0.751,11.651,7.857,1.754,21.747,16.414,1.648,4.295
SI,0.035,0.267,0.323,0.391,0.248,1.241,0.515,0.879
SK,0.343,1.289,4.561,2.107,1.813,3.506,1.173,5.696
